Name N E Z
p412 6165426.919 444708.561 138.446
p413 6165420.868 444712.088 138.446
p414 6165414.699 444715.317 138.346
p415 6165408.483 444718.770 138.346
p416 6165402.021 444722.318 138.347
p417 6165396.028 444725.908 138.347
p418 6165399.835 444731.822 138.447
p419 6165405.863 444728.433 138.547
p420 6165412.083 444724.932 138.346
p421 6165418.199 444721.550 138.346
p422 6165424.342 444718.216 138.346
p423 6165430.581 444714.619 138.446
p424 6165436.621 444711.355 138.446
p425 6165442.688 444707.865 138.346
p426 6165448.877 444704.591 138.246
p427 6165455.043 444701.005 138.246
p428 6165461.196 444697.579 138.446
p429 6165467.367 444694.162 138.746
p430 6165473.579 444690.735 139.146
p431 6165479.512 444695.546 139.546
p432 6165473.197 444698.913 138.846
p433 6165466.556 444702.462 138.546
p434 6165460.633 444705.668 138.246
p435 6165454.641 444709.051 138.146
p436 6165448.591 444712.556 138.246
p437 6165442.450 444715.954 138.346
p438 6165436.304 444719.403 138.446
p439 6165430.135 444722.664 138.346
p440 6165423.961 444726.031 138.346
p441 6165417.953 444729.487 138.346
p442 6165411.635 444733.086 138.546
p443 6165405.351 444736.797 138.347
p444 6165409.428 444742.699 138.347
p445 6165415.508 444739.154 138.346
p446 6165421.677 444735.970 138.346
p447 6165427.892 444732.487 138.446
p448 6165433.898 444728.861 138.246
p449 6165440.102 444725.706 138.246
p450 6165446.226 444722.275 138.246
p451 6165452.269 444718.423 138.246
p452 6165458.446 444715.381 138.046
p453 6165464.555 444711.884 138.246
p454 6165470.847 444708.306 138.546
p455 6165476.784 444704.909 138.846
p456 6165483.018 444701.544 139.546
p457 6165487.019 444707.116 139.745
p458 6165480.741 444710.736 138.946
p459 6165474.461 444714.022 138.246
p460 6165468.431 444717.440 138.146
p461 6165462.414 444720.963 137.946
p462 6165456.129 444724.287 138.046
p463 6165450.074 444727.642 138.046
p464 6165443.952 444731.017 138.046
p465 6165437.585 444734.449 138.246
p466 6165431.679 444737.638 138.246
p467 6165425.451 444741.078 138.146
p468 6165419.044 444745.035 138.246
p469 6165413.234 444748.422 138.347
p470 6165417.827 444753.566 138.047
p471 6165423.041 444750.096 138.046
p472 6165428.973 444746.816 138.146
p473 6165435.098 444743.385 138.246
p474 6165441.180 444740.092 138.246
p475 6165447.394 444736.734 138.046
p476 6165453.380 444733.339 137.946
p477 6165459.523 444730.065 138.046
p478 6165465.636 444726.796 138.046
p479 6165471.733 444723.480 138.046
p480 6165478.006 444720.079 138.246
p481 6165484.090 444716.812 139.046
p482 6165490.240 444713.548 139.745
p483 6165493.707 444719.728 139.945
p484 6165487.500 444723.136 138.946
p485 6165481.552 444726.449 138.346
p486 6165475.103 444729.867 138.146
p487 6165468.925 444733.260 138.046
p488 6165462.663 444736.513 137.946
p489 6165456.532 444739.881 138.046
p490 6165450.647 444743.107 137.946
p491 6165444.398 444746.547 138.046
p492 6165438.440 444749.896 137.946
p493 6165432.556 444753.120 137.946
p494 6165426.494 444756.485 137.946
p495 6165422.036 444759.404 137.947
p496 6165426.246 444764.839 138.046
p497 6165429.887 444762.587 138.046
p498 6165435.797 444759.264 137.946
p499 6165441.540 444756.192 137.946
p500 6165447.646 444752.851 137.846
p501 6165453.710 444749.455 137.946
p502 6165460.003 444746.072 137.946
p503 6165465.987 444742.813 137.946
p504 6165472.109 444739.601 137.946
p505 6165478.193 444736.164 138.146
p506 6165484.643 444732.652 138.346
p507 6165490.951 444729.301 138.846
p508 6165498.111 444725.436 139.745
p509 6165503.690 444729.796 139.945
p510 6165499.640 444732.177 139.345
p511 6165493.261 444735.643 138.646
p512 6165487.742 444738.567 138.346
p513 6165481.199 444742.092 138.046
p514 6165475.061 444745.564 137.846
p515 6165469.031 444748.909 137.846
p516 6165463.167 444752.188 137.846
p517 6165457.037 444755.604 137.846
p518 6165451.184 444758.789 137.946
p519 6165445.109 444762.183 137.946
p520 6165439.061 444765.585 138.046
p521 6165433.041 444769.096 138.046
p522 6165426.728 444772.577 137.847
p523 6165434.057 444776.787 138.146
p524 6165440.310 444773.333 138.046
p525 6165446.507 444769.688 138.246
p526 6165452.455 444766.538 137.946
p527 6165458.626 444763.113 137.746
p528 6165464.775 444759.710 137.746
p529 6165470.172 444756.741 137.746
p530 6165476.333 444753.222 137.846
p531 6165482.391 444749.918 137.946
p532 6165488.533 444746.443 138.146
p533 6165494.351 444743.355 138.346
p534 6165500.659 444739.693 138.746
p535 6165507.082 444736.119 139.745
p536 6165512.955 444740.805 139.945
p537 6165509.074 444743.118 139.345
p538 6165504.236 444745.572 138.646
p539 6165498.470 444749.018 138.346
p540 6165492.566 444752.308 138.146
p541 6165486.465 444755.616 137.846
p542 6165479.878 444759.225 137.746
p543 6165474.584 444762.316 137.746
p544 6165469.233 444765.230 137.746
p545 6165463.933 444768.099 137.746
p546 6165458.761 444770.958 137.946
p547 6165453.578 444773.775 137.746
p548 6165448.121 444776.763 138.046
p549 6165442.926 444779.855 137.946
p550 6165437.721 444782.668 137.946
