B L 84H Name
55°36'33.94872" 86°07'18.24072" 105.600 p404
55°36'34.16820" 86°07'18.45600" 105.700 p405
55°36'33.97940" 86°07'18.66560" 105.400 p406
55°36'33.77016" 86°07'18.87864" 105.200 p407
55°36'33.57720" 86°07'19.07484" 105.000 p408
55°36'33.38160" 86°07'19.27128" 105.000 p409
55°36'33.18804" 86°07'19.46220" 105.000 p410
55°36'32.97540" 86°07'19.65504" 105.100 p411
55°36'32.78655" 86°07'19.86405" 105.000 p412
55°36'32.59236" 86°07'20.06988" 105.000 p413
55°36'32.39424" 86°07'20.25876" 104.900 p414
55°36'32.19468" 86°07'20.46048" 104.900 p415
55°36'31.98720" 86°07'20.66780" 104.900 p416
55°36'31.79490" 86°07'20.87715" 104.900 p417
55°36'31.92040" 86°07'21.21220" 105.000 p418
55°36'32.11392" 86°07'21.01428" 105.100 p419
55°36'32.31360" 86°07'20.80980" 104.900 p420
55°36'32.50995" 86°07'20.61225" 104.900 p421
55°36'32.70720" 86°07'20.41740" 104.900 p422
55°36'32.90745" 86°07'20.20740" 105.000 p423
55°36'33.10140" 86°07'20.01660" 105.000 p424
55°36'33.29610" 86°07'19.81290" 104.900 p425
55°36'33.49488" 86°07'19.62144" 104.800 p426
55°36'33.69276" 86°07'19.41216" 104.800 p427
55°36'33.89028" 86°07'19.21200" 105.000 p428
55°36'34.08840" 86°07'19.01240" 105.300 p429
55°36'34.28784" 86°07'18.81216" 105.700 p430
55°36'34.48164" 86°07'19.08264" 106.100 p431
55°36'34.27884" 86°07'19.27956" 105.400 p432
55°36'34.06560" 86°07'19.48704" 105.100 p433
55°36'33.87540" 86°07'19.67445" 104.800 p434
55°36'33.68304" 86°07'19.87200" 104.700 p435
55°36'33.48888" 86°07'20.07660" 104.800 p436
55°36'33.29172" 86°07'20.27508" 104.900 p437
55°36'33.09444" 86°07'20.47656" 105.000 p438
55°36'32.89632" 86°07'20.66724" 104.900 p439
55°36'32.69808" 86°07'20.86404" 104.900 p440
55°36'32.50524" 86°07'21.06576" 104.900 p441
55°36'32.30244" 86°07'21.27588" 105.100 p442
55°36'32.10080" 86°07'21.49240" 104.900 p443
55°36'32.23500" 86°07'21.82656" 104.900 p444
55°36'32.43015" 86°07'21.61965" 104.900 p445
55°36'32.62830" 86°07'21.43335" 104.900 p446
55°36'32.82780" 86°07'21.22995" 105.000 p447
55°36'33.02052" 86°07'21.01848" 104.800 p448
55°36'33.21980" 86°07'20.83380" 104.800 p449
55°36'33.41640" 86°07'20.63340" 104.800 p450
55°36'33.61020" 86°07'20.40900" 104.800 p451
55°36'33.80865" 86°07'20.23080" 104.600 p452
